mandt,vbelv,posnv,vbeln,posnn,vbtyp_n,rfmng,meins,rfwrt,waers,vbtyp_v,plmin,taqui,erdat,erzet,matnr,bwart,bdart,plart,stufe,lgnum,aedat,fktyp,brgew,gewei,volum,voleh,fplnr,fpltr,rfmng_flo,rfmng_flt,vrkme,abges,sobkz,sonum,kzbef,ntgew,logsys,wbsta,cmeth,mjahr,vbtypext_v,vbtypext_n,operation_flag,is_deleted,recordstamp
800,40000206,0,13946,0,C,,,30000.0,RUB,G,,,2011-03-31,08:50:21,,,,,0,,,,,,,,,0,,,,,,,,,,,,0,,,L,False,2021-08-18 01:36:27.090922+00:00
800,20000091,0,15370,0,C,,,1000.0,INR,B,,,2013-06-20,13:24:26,,,,,0,,,,,,,,,0,,,,,,,,,,,,0,,,L,False,2021-08-18 01:36:07.282451+00:00
800,20000092,0,15371,0,C,,,695500000.0,INR,B,,,2013-06-20,16:27:33,,,,,0,,,,,,,,,0,,,,,,,,,,,,0,,,L,False,2021-08-18 01:36:07.282451+00:00
800,20000094,0,15397,0,C,,,695500000.0,INR,B,,,2013-07-02,06:43:26,,,,,0,,,,,,,,,0,,,,,,,,,,,,0,,,L,False,2021-08-18 01:36:27.090922+00:00
800,20000095,0,15399,0,C,,,695500000.0,INR,B,,,2013-07-03,08:02:18,,,,,0,,,,,,,,,0,,,,,,,,,,,,0,,,L,False,2021-08-18 01:36:07.282451+00:00
800,20000096,0,15400,0,C,,,695500000.0,INR,B,,,2013-07-03,18:40:21,,,,,0,,,,,,,,,0,,,,,,,,,,,,0,,,L,False,2021-08-18 01:36:07.282451+00:00
800,10000010,0,20000083,0,B,,,,INR,A,,,2013-06-10,17:58:17,,,,,0,,,,,,,,,0,,,,,,,,,,,,0,,,L,False,2021-08-18 01:35:10.138426+00:00
800,10000007,0,20000084,0,B,,,,INR,A,,,2013-06-10,18:50:19,,,,,0,,,,,,,,,0,,,,,,,,,,,,0,,,L,False,2021-08-18 01:35:10.138426+00:00
800,10000006,0,20000085,0,B,,,,INR,A,,,2013-06-10,18:55:49,,,,,0,,,,,,,,,0,,,,,,,,,,,,0,,,L,False,2021-08-18 01:35:10.138426+00:00
800,10000005,0,20000086,0,B,,,,INR,A,,,2013-06-10,18:56:45,,,,,0,,,,,,,,,0,,,,,,,,,,,,0,,,L,False,2021-08-18 01:35:10.138426+00:00
800,10000012,0,20000087,0,B,,,,INR,A,,,2013-06-20,06:25:42,,,,,0,,,,,,,,,0,,,,,,,,,,,,0,,,L,False,2021-08-18 01:35:10.138426+00:00
800,10000011,0,20000088,0,B,,,,INR,A,,,2013-06-20,06:36:41,,,,,0,,,,,,,,,0,,,,,,,,,,,,0,,,L,False,2021-08-18 01:35:10.138426+00:00
800,10000013,0,20000089,0,B,,,1000.0,INR,A,,,2013-06-20,11:11:28,,,,,0,,,,,,,,,0,,,,,,,,,,,,0,,,L,False,2021-08-18 01:36:27.090922+00:00
800,10000014,0,20000090,0,B,,,1000.0,INR,A,,,2013-06-20,11:53:10,,,,,0,,,,,,,,,0,,,,,,,,,,,,0,,,L,False,2021-08-18 01:36:27.090922+00:00
800,10000015,0,20000091,0,B,,,1000.0,INR,A,,,2013-06-20,13:23:12,,,,,0,,,,,,,,,0,,,,,,,,,,,,0,,,L,False,2021-08-18 01:36:27.090922+00:00
800,10000017,0,20000092,0,B,,,695500000.0,INR,A,,,2013-06-20,16:19:41,,,,,0,,,,,,,,,0,,,,,,,,,,,,0,,,L,False,2021-08-18 01:36:27.090922+00:00
800,10000019,0,20000093,0,B,,,695500000.0,INR,A,,,2013-06-26,07:25:10,,,,,0,,,,,,,,,0,,,,,,,,,,,,0,,,L,False,2021-08-18 01:36:27.090922+00:00
800,10000020,0,20000094,0,B,,,695500000.0,INR,A,,,2013-07-02,06:36:36,,,,,0,,,,,,,,,0,,,,,,,,,,,,0,,,L,False,2021-08-18 01:36:27.090922+00:00
800,10000021,0,20000095,0,B,,,695500000.0,INR,A,,,2013-07-03,06:16:15,,,,,0,,,,,,,,,0,,,,,,,,,,,,0,,,L,False,2021-08-18 01:36:27.090922+00:00
800,10000022,0,20000096,0,B,,,695500000.0,INR,A,,,2013-07-03,17:11:06,,,,,0,,,,,,,,,0,,,,,,,,,,,,0,,,L,False,2021-08-18 01:36:27.090922+00:00
800,5002394,0,70000098,0,L,,,191844.0,RUB,2,,,2012-07-23,19:50:18,,,,,0,,,,,,,,,0,,,,,,,,,,,,0,,,L,False,2021-08-18 01:35:28.868766+00:00
800,5002391,0,70000100,0,L,,,82404.0,ARS,2,,,2012-07-23,20:05:48,,,,,0,,,,,,,,,0,,,,,,,,,,,,0,,,L,False,2021-08-18 01:35:28.868766+00:00
800,5002392,0,70000101,0,L,,,82404.0,MXN,2,,,2012-07-23,20:12:25,,,,,0,,,,,,,,,0,,,,,,,,,,,,0,,,L,False,2021-08-18 01:35:28.868766+00:00
800,5002396,0,70000103,0,L,,,3876.0,GBP,2,,,2012-07-23,20:15:06,,,,,0,,,,,,,,,0,,,,,,,,,,,,0,,,L,False,2021-08-18 01:35:28.868766+00:00
800,5002399,0,70000105,0,L,,,69651.6,KRW,2,,,2012-07-23,20:16:21,,,,,0,,,,,,,,,0,,,,,,,,,,,,0,,,L,False,2021-08-18 01:35:28.868766+00:00
800,5002400,0,70000106,0,L,,,37896.0,CNY,2,,,2012-07-23,20:16:39,,,,,0,,,,,,,,,0,,,,,,,,,,,,0,,,L,False,2021-08-18 01:35:28.868766+00:00
800,5002401,0,70000107,0,L,,,5856.0,AUD,2,,,2012-07-23,20:16:58,,,,,0,,,,,,,,,0,,,,,,,,,,,,0,,,L,False,2021-08-18 01:35:28.868766+00:00
800,161,0,70000110,0,L,,,9600.0,ARS,2,,,2012-07-24,00:09:00,,,,,0,,,,,,,,,0,,,,,,,,,,,,0,,,L,False,2021-08-18 01:36:27.090922+00:00
800,170,0,70000113,0,L,,,1573.0,CNY,2,,,2012-07-24,00:45:21,,,,,0,,,,,,,,,0,,,,,,,,,,,,0,,,L,False,2021-08-18 01:36:27.090922+00:00
