mandt,matnr,spras,maktx,maktg,operation_flag,is_deleted,recordstamp
250,000000006666666770,E,Tuna meat,TUNA MEAT,I,False,2022-02-03 12:59:46.662144+00:00
200,GTS-30002,E,Tires,TIRES,I,False,2021-03-31 02:48:36+00:00
200,GTS-30002,E,Tires,TIRES,I,False,2021-03-31 02:48:36+00:00
200,GTS-N2-004,E,Garden shovel,CASING,I,False,2021-03-31 02:48:36+00:00
200,GTS-N2-004,E,Garden shovel,CASING,I,False,2021-03-31 02:48:36+00:00
200,XXXXXX,E,Toilet Paper soft,LAPTOP,I,False,2021-03-31 02:48:36+00:00
200,XXXXXX,E,Toilet Paper soft,LAPTOP,I,False,2021-03-31 02:48:36+00:00
200,MAT0006,E,Toilet Paper soft,LAPTOP,I,False,2021-03-31 02:48:36+00:00
200,MAT0006,E,Toilet Paper soft,LAPTOP,I,False,2021-03-31 02:48:36+00:00
200,POS_PR,E,Package box,PARCEL,I,False,2021-03-31 02:48:36+00:00
200,POS_PR,E,Package box,PARCEL,I,False,2021-03-31 02:48:36+00:00
200,SRV1_4_ERP,E,Sushi,REPAIR,I,False,2021-03-31 02:48:36+00:00
200,SRV1_4_ERP,E,Sushi,REPAIR,I,False,2021-03-31 02:48:36+00:00
200,WT_REPAIR,E,Sushi roll,REPAIR,I,False,2021-03-31 02:48:36+00:00
200,WT_REPAIR,E,Sushi roll,REPAIR,I,False,2021-03-31 02:48:36+00:00
200,SEALER,E,Sealer,SEALER,I,False,2021-03-31 02:48:36+00:00
200,SEALER,E,Sealer,SEALER,I,False,2021-03-31 02:48:36+00:00
200,CONDUIT,E,Broom,CONDUIT,I,False,2021-03-31 02:48:36+00:00
200,CONDUIT,E,Broom,CONDUIT,I,False,2021-03-31 02:48:36+00:00
200,SP3100,E,Partner,PARTNER,I,False,2021-03-31 02:48:36+00:00
200,SP3100,E,Partner,PARTNER,I,False,2021-03-31 02:48:36+00:00
200,MAT0007,E,HDMI Cable,ROUTERS,I,False,2021-03-31 02:48:36+00:00
200,MAT0007,E,HDMI Cable,ROUTERS,I,False,2021-03-31 02:48:36+00:00
200,MAT0005,E,Toilet Paper Cats,SERVERS,I,False,2021-03-31 02:48:36+00:00
200,MAT0005,E,Toilet Paper Cats,SERVERS,I,False,2021-03-31 02:48:36+00:00
200,CONCRETE,E,Plant Concrete planter,CONCRETE,I,False,2021-03-31 02:48:36+00:00
200,CONCRETE,E,Plant Concrete planter,CONCRETE,I,False,2021-03-31 02:48:36+00:00
200,GTS-N2-001,E,Almond cake,CYLINDER,I,False,2021-03-31 02:48:36+00:00
200,GTS-N2-001,E,Almond cake,CYLINDER,I,False,2021-03-31 02:48:36+00:00
