mandt,setclass,subclass,setname,lineid,subsetcls,subsetscls,subsetname,seqnr,operation_flag,is_deleted,recordstamp
50,101,0001,0001,1,0101,0001,0001-1,1,I,False,2022-03-10 05:59:17.541249+00:00
50,101,0001,0001,1,0101,0001,0001-1,1,I,False,2022-03-10 06:44:40.159032+00:00
50,101,0001,0001,1,0101,0001,0001-1,1,I,False,2022-03-17 18:12:55.769926+00:00
50,101,0001,0001,2,0101,0001,0001-2,2,I,False,2022-03-10 05:59:17.541249+00:00
50,101,0001,0001,2,0101,0001,0001-2,2,I,False,2022-03-10 06:44:40.159032+00:00
50,101,0001,0001,2,0101,0001,0001-2,2,I,False,2022-03-17 18:12:55.769926+00:00
50,101,0001,0001,3,0101,0001,0001-3,3,I,False,2022-03-10 05:59:17.541249+00:00
50,101,0001,0001,3,0101,0001,0001-3,3,I,False,2022-03-10 06:44:40.159032+00:00
50,101,0001,0001,3,0101,0001,0001-3,3,I,False,2022-03-17 18:12:55.769926+00:00
50,101,C001,ALCOHOLIC5,1,0101,C001,BEER5,1,I,False,2022-02-01 07:32:12.441229+00:00
50,101,C001,TELEVISN05,1,0101,C001,LED05,1,I,False,2022-02-01 07:32:12.441229+00:00
50,101,C001,MEATNPOUL5,1,0101,C001,MEAT5,1,I,False,2022-02-01 07:32:12.441229+00:00
50,101,C001,FRUITJUIC5,1,0101,C001,PURE5,1,I,False,2022-02-01 07:32:12.441229+00:00
50,101,C001,FOODS5,1,0101,C001,DAIRY5,1,I,False,2022-02-01 07:32:12.441229+00:00
50,101,C001,JP01-PS,1,0101,C001,FOODS5,1,I,False,2022-02-01 07:32:12.441229+00:00
50,101,C001,CARBONATE5,1,0101,C001,SUGAR5,1,I,False,2022-02-01 07:32:12.441229+00:00
50,101,C001,HOMECOMP5,1,0101,C001,DESKTOP5,1,I,False,2022-02-01 07:32:12.441229+00:00
50,101,C001,JP01-EL,1,0101,C001,HOMEENT5,1,I,False,2022-02-01 07:32:12.441229+00:00
50,101,C001,HOUSEHOLD5,1,0101,C001,LAUNDRY5,1,I,False,2022-02-01 07:32:12.441229+00:00
50,101,C001,DESKTOP5,1,0101,C001,WINDOWS5,1,I,False,2022-02-01 07:32:12.441229+00:00
50,101,C001,DAIRY5,1,0101,C001,YOGURT05,1,I,False,2022-02-01 07:32:12.441229+00:00
50,101,C001,CLOTHING5,1,0101,C001,CLOTHCOT5,1,I,False,2022-02-01 07:32:12.441229+00:00
50,101,C001,PERSCARE5,1,0101,C001,SKINCARE5,1,I,False,2022-02-01 07:32:12.441229+00:00
50,101,C001,STEREOSYS5,1,0101,C001,BLUETOOTH5,1,I,False,2022-02-01 07:32:12.441229+00:00
50,101,C001,BEVERAGES5,1,0101,C001,FRUITJUIC5,1,I,False,2022-02-01 07:32:12.441229+00:00
50,101,C001,JP01-PG,1,0101,C001,HOUSEHOLD5,1,I,False,2022-02-01 07:32:12.441229+00:00
50,101,C001,LAUNDRY5,1,0101,C001,LAUNDRYDT5,1,I,False,2022-02-01 07:32:12.441229+00:00
50,101,C001,BEAUTCARE5,1,0101,C001,SHAMPOODR5,1,I,False,2022-02-01 07:32:12.441229+00:00
50,101,C001,SKINCARE5,1,0101,C001,SOAPLIQSP5,1,I,False,2022-02-01 07:32:12.441229+00:00
50,101,C001,HOMEENT5,1,0101,C001,TELEVISN05,1,I,False,2022-02-01 07:32:12.441229+00:00
